"location_name","year_id","sex","age_group","mean","lower","upper","measure"
"Saint Vincent and the Grenadines",2019,"Male","0 to 14",3.4958198682349,2.92820772448417,4.10868098599208,"Blood lead (ug/dL)"
"Saint Vincent and the Grenadines",2019,"Female","0 to 14",3.31218330382337,2.75476401833411,3.93560951405388,"Blood lead (ug/dL)"
"Suriname",2019,"Male","0 to 14",2.98291641489654,2.49505947994295,3.5726488345931,"Blood lead (ug/dL)"
"Suriname",2019,"Female","0 to 14",2.62679372474398,2.17730876744221,3.15168534885931,"Blood lead (ug/dL)"
"Trinidad and Tobago",2019,"Male","0 to 14",1.80999990445627,1.49785105893685,2.18576170866705,"Blood lead (ug/dL)"
"Trinidad and Tobago",2019,"Female","0 to 14",1.42360322933415,1.19935460067676,1.69643184058272,"Blood lead (ug/dL)"
"Bolivia (Plurinational State of)",2019,"Male","0 to 14",6.90536182328845,5.73592829557725,8.24656997458443,"Blood lead (ug/dL)"
"Bolivia (Plurinational State of)",2019,"Female","0 to 14",6.64842754984015,5.54159790642938,7.93575276571953,"Blood lead (ug/dL)"
"Ecuador",2019,"Male","0 to 14",3.32488882080084,2.77632704695917,3.99857846539507,"Blood lead (ug/dL)"
"Ecuador",2019,"Female","0 to 14",2.72711048413996,2.28797394371398,3.27734440980696,"Blood lead (ug/dL)"
"Peru",2019,"Male","0 to 14",6.49007360502794,5.44660370491518,7.62542571240313,"Blood lead (ug/dL)"
"Peru",2019,"Female","0 to 14",6.22277747427581,5.33127676078842,7.3930985925908,"Blood lead (ug/dL)"
"Colombia",2019,"Male","0 to 14",2.5523021091352,2.1400025782427,3.01677087140539,"Blood lead (ug/dL)"
"Colombia",2019,"Female","0 to 14",2.11979374043216,1.79137560659686,2.50075591073696,"Blood lead (ug/dL)"
"Costa Rica",2019,"Male","0 to 14",3.74786210413943,3.14171155670133,4.41046158940495,"Blood lead (ug/dL)"
"Costa Rica",2019,"Female","0 to 14",2.84244320704346,2.37420648408572,3.41228657587102,"Blood lead (ug/dL)"
"El Salvador",2019,"Male","0 to 14",4.9112185723893,4.06849080302415,5.90598174353925,"Blood lead (ug/dL)"
"El Salvador",2019,"Female","0 to 14",3.85545581443684,3.21787090856427,4.58366279758336,"Blood lead (ug/dL)"
"Guatemala",2019,"Male","0 to 14",6.70931269674149,5.6092108698738,8.10489731360638,"Blood lead (ug/dL)"
"Guatemala",2019,"Female","0 to 14",5.04562024919686,4.25510739663165,6.09454445225995,"Blood lead (ug/dL)"
"Honduras",2019,"Male","0 to 14",6.00021311578735,5.00963075350199,7.06015139133888,"Blood lead (ug/dL)"
"Honduras",2019,"Female","0 to 14",4.90194547465085,4.09610916590252,5.85214437477082,"Blood lead (ug/dL)"
"Mexico",2019,"Male","0 to 14",4.85199498443688,4.64222692358169,5.06397242770972,"Blood lead (ug/dL)"
"Mexico",2019,"Female","0 to 14",4.60411473397235,4.42739730724572,4.80147437224547,"Blood lead (ug/dL)"
"Nicaragua",2019,"Male","0 to 14",3.40298547292202,2.8749387918397,4.02860156888396,"Blood lead (ug/dL)"
"Nicaragua",2019,"Female","0 to 14",2.52214572130759,2.11641840119559,2.98491216651311,"Blood lead (ug/dL)"
"Panama",2019,"Male","0 to 14",3.26413507723785,2.73796582198546,3.84923973772223,"Blood lead (ug/dL)"
"Panama",2019,"Female","0 to 14",2.6713812694337,2.22622377028901,3.19051793976429,"Blood lead (ug/dL)"
"Venezuela (Bolivarian Republic of)",2019,"Male","0 to 14",5.06418858605291,4.25654653159596,5.98724460865778,"Blood lead (ug/dL)"
"Venezuela (Bolivarian Republic of)",2019,"Female","0 to 14",4.16549484056819,3.50731488534591,4.97879044498662,"Blood lead (ug/dL)"
"Brazil",2019,"Male","0 to 14",2.90970863038409,2.78979602111144,3.04129595493982,"Blood lead (ug/dL)"
"Brazil",2019,"Female","0 to 14",2.74956077833194,2.63664218889488,2.86454982428927,"Blood lead (ug/dL)"
"Paraguay",2019,"Male","0 to 14",2.73786078678537,2.30860528884461,3.23329332050816,"Blood lead (ug/dL)"
"Paraguay",2019,"Female","0 to 14",4.53253822497217,3.74635959503713,5.46498483051611,"Blood lead (ug/dL)"
"Algeria",2019,"Male","0 to 14",4.13990642658622,3.43707255077087,4.9289730981156,"Blood lead (ug/dL)"
"Algeria",2019,"Female","0 to 14",3.36346939931252,2.83333426743031,4.0070643404342,"Blood lead (ug/dL)"
"Bahrain",2019,"Male","0 to 14",2.77180367582793,2.31742188823319,3.28908276062979,"Blood lead (ug/dL)"
"Bahrain",2019,"Female","0 to 14",2.26251120942192,1.89800198244165,2.70854771838896,"Blood lead (ug/dL)"
"Egypt",2019,"Male","0 to 14",7.33251553578435,6.35812055019926,8.42469888301271,"Blood lead (ug/dL)"
