location_name,year_id,sex,age_group,mean,lower,upper,measure
Libya,2019,Female,0 to 14,37574,16213,73682,Number of people with BLLs >5 ug/dL
Morocco,2019,Male,0 to 14,1120637,588724,1900537,Number of people with BLLs >5 ug/dL
Morocco,2019,Female,0 to 14,469735,232776,860645,Number of people with BLLs >5 ug/dL
Palestine,2019,Male,0 to 14,57547,24703,110656,Number of people with BLLs >5 ug/dL
Palestine,2019,Female,0 to 14,41785,18682,82658,Number of people with BLLs >5 ug/dL
Oman,2019,Male,0 to 14,25432,11197,51053,Number of people with BLLs >5 ug/dL
Oman,2019,Female,0 to 14,21005,9598,41620,Number of people with BLLs >5 ug/dL
Qatar,2019,Male,0 to 14,11967,5192,23590,Number of people with BLLs >5 ug/dL
Qatar,2019,Female,0 to 14,7971,3672,16289,Number of people with BLLs >5 ug/dL
Saudi Arabia,2019,Male,0 to 14,170861,80237,331773,Number of people with BLLs >5 ug/dL
Saudi Arabia,2019,Female,0 to 14,126598,62669,250977,Number of people with BLLs >5 ug/dL
Syrian Arab Republic,2019,Male,0 to 14,858970,408322,1393641,Number of people with BLLs >5 ug/dL
Syrian Arab Republic,2019,Female,0 to 14,623064,280273,1099563,Number of people with BLLs >5 ug/dL
Tunisia,2019,Male,0 to 14,231629,103121,452075,Number of people with BLLs >5 ug/dL
Tunisia,2019,Female,0 to 14,165529,74453,333031,Number of people with BLLs >5 ug/dL
Turkey,2019,Male,0 to 14,320820,145583,609023,Number of people with BLLs >5 ug/dL
Turkey,2019,Female,0 to 14,227884,117100,437301,Number of people with BLLs >5 ug/dL
United Arab Emirates,2019,Male,0 to 14,16889,8825,34000,Number of people with BLLs >5 ug/dL
United Arab Emirates,2019,Female,0 to 14,18292,9240,35630,Number of people with BLLs >5 ug/dL
Yemen,2019,Male,0 to 14,5985628,5625386,6118252,Number of people with BLLs >5 ug/dL
Yemen,2019,Female,0 to 14,5157528,3991460,5720069,Number of people with BLLs >5 ug/dL
Afghanistan,2019,Male,0 to 14,8073271,7817069,8296439,Number of people with BLLs >5 ug/dL
Afghanistan,2019,Female,0 to 14,7542714,7003995,7737749,Number of people with BLLs >5 ug/dL
Bangladesh,2019,Male,0 to 14,15306055,11097278,18460249,Number of people with BLLs >5 ug/dL
Bangladesh,2019,Female,0 to 14,12456903,7901564,16652197,Number of people with BLLs >5 ug/dL
Bhutan,2019,Male,0 to 14,9116,4279,16938,Number of people with BLLs >5 ug/dL
Bhutan,2019,Female,0 to 14,11450,5364,21163,Number of people with BLLs >5 ug/dL
India,2019,Male,0 to 14,115582200,102779303,128310203,Number of people with BLLs >5 ug/dL
India,2019,Female,0 to 14,106573833,94954374,118131488,Number of people with BLLs >5 ug/dL
Nepal,2019,Male,0 to 14,3011200,1944086,3842449,Number of people with BLLs >5 ug/dL
Nepal,2019,Female,0 to 14,2294739,1270440,3288647,Number of people with BLLs >5 ug/dL
Pakistan,2019,Male,0 to 14,19863441,10859120,29766889,Number of people with BLLs >5 ug/dL
Pakistan,2019,Female,0 to 14,14519310,7130983,23728377,Number of people with BLLs >5 ug/dL
Angola,2019,Male,0 to 14,2288930,1058849,3920974,Number of people with BLLs >5 ug/dL
Angola,2019,Female,0 to 14,1959607,898023,3506544,Number of people with BLLs >5 ug/dL
Central African Republic,2019,Male,0 to 14,758293,505884,945571,Number of people with BLLs >5 ug/dL
Central African Republic,2019,Female,0 to 14,709775,448573,912806,Number of people with BLLs >5 ug/dL
Congo,2019,Male,0 to 14,125602,58093,238497,Number of people with BLLs >5 ug/dL
Congo,2019,Female,0 to 14,120899,54306,237161,Number of people with BLLs >5 ug/dL
Democratic Republic of the Congo,2019,Male,0 to 14,10759084,6041342,14781635,Number of people with BLLs >5 ug/dL
Democratic Republic of the Congo,2019,Female,0 to 14,9879928,5401014,14182489,Number of people with BLLs >5 ug/dL
Equatorial Guinea,2019,Male,0 to 14,14676,6496,28521,Number of people with BLLs >5 ug/dL
Equatorial Guinea,2019,Female,0 to 14,16561,7443,31266,Number of people with BLLs >5 ug/dL
Gabon,2019,Male,0 to 14,18805,8407,35872,Number of people with BLLs >5 ug/dL
Gabon,2019,Female,0 to 14,18307,8380,34098,Number of people with BLLs >5 ug/dL
Burundi,2019,Male,0 to 14,1499348,850898,2095356,Number of people with BLLs >5 ug/dL
